ImageNumber,Intensity_LowerQuartileIntensity_MIRO160mer,Intensity_LowerQuartileIntensity_Subtract_perinucleus_Miro160mer,Intensity_MADIntensity_MIRO160mer,Intensity_MADIntensity_Subtract_perinucleus_Miro160mer,Intensity_MaxIntensity_MIRO160mer,Intensity_MaxIntensity_Subtract_perinucleus_Miro160mer,Intensity_MeanIntensity_MIRO160mer,Intensity_MeanIntensity_Subtract_perinucleus_Miro160mer,Intensity_MedianIntensity_MIRO160mer,Intensity_MedianIntensity_Subtract_perinucleus_Miro160mer,Intensity_MinIntensity_MIRO160mer,Intensity_MinIntensity_Subtract_perinucleus_Miro160mer,Intensity_PercentMaximal_MIRO160mer,Intensity_PercentMaximal_Subtract_perinucleus_Miro160mer,Intensity_StdIntensity_MIRO160mer,Intensity_StdIntensity_Subtract_perinucleus_Miro160mer,Intensity_TotalArea_MIRO160mer,Intensity_TotalArea_Subtract_perinucleus_Miro160mer,Intensity_TotalIntensity_MIRO160mer,Intensity_TotalIntensity_Subtract_perinucleus_Miro160mer,Intensity_UpperQuartileIntensity_MIRO160mer,Intensity_UpperQuartileIntensity_Subtract_perinucleus_Miro160mer
58,0.001892118714749813,0.0018768596928566694,0.00010681315,9.155413e-05,0.024307622,0.024307622,0.002160311022148177,0.0020592083613940253,0.0019684138,0.0019531548,0.0015259022,0.0015259022,1.8903648857917152e-05,2.1352460582823953e-05,0.0006679238,0.0004734433,5289984,4683301,11428.011,9643.893,0.0021057450212538242,0.0020599679555743933
59,0.001892118714749813,0.0018768596928566694,0.00010681315,9.155413e-05,0.1288014,0.1288014,0.002169344898715667,0.002071353917478711,0.0019836728,0.0019684138,0.0015259022,0.0015259022,1.8903648857917152e-05,2.24409416129337e-05,0.0006382727,0.00047892376,5289984,4456141,11475.8,9230.245,0.002151522086933255,0.002075226977467537
60,0.001892118714749813,0.0018768596928566694,0.00012207218,9.155413e-05,0.12103456,0.07084764,0.002217467792081224,0.002089088338824365,0.0019989319,0.0019684138,0.0015106432,0.0015106432,1.8903648857917152e-05,2.2768618468537186e-05,0.00079623656,0.0005244736,5289984,4392010,11730.369,9175.297,0.002166781108826399,0.0020904859993606806
61,0.001892118714749813,0.0018768596928566694,0.00010681315,9.155413e-05,0.040878918,0.020691235,0.0021831056105273664,0.0020603556133969095,0.0019836728,0.0019531548,0.0015259022,0.0015259022,1.8903648857917152e-05,2.1800075864264006e-05,0.00074687885,0.00048274436,5289984,4587140,11548.594,9451.14,0.002121004043146968,0.0020599679555743933
62,0.001892118714749813,0.0018768596928566694,0.00010681315,9.155413e-05,0.044953078,0.0180972,0.0021734499811341583,0.0020748876598623107,0.0019836728,0.0019684138,0.0015259022,0.0015259022,1.8903648857917152e-05,2.2140827619708258e-05,0.0006572105,0.0004652981,5289984,4516543,11497.516,9371.319,0.0021362630650401115,0.002075226977467537
63,0.001892118714749813,0.0018768596928566694,0.00010681315,9.155413e-05,0.09864958,0.09864958,0.0021451325366721335,0.0020703934319307457,0.0019836728,0.0019684138,0.0015259022,0.0015259022,1.8903648857917152e-05,2.1926737507570205e-05,0.0005598385,0.00045757217,5289984,4560642,11347.717,9442.323,0.0021362630650401115,0.002075226977467537
64,0.001892118714749813,0.001892118714749813,0.00012207218,9.155413e-05,0.07832456,0.07832456,0.0021947224934895835,0.0020891554129542217,0.0019989319,0.0019684138,0.0015106432,0.0015106432,1.8903648857917152e-05,2.2344496271262184e-05,0.0006604362,0.00049002335,5289984,4475375,11610.047,9349.754,0.002166781108826399,0.0020904859993606806
65,0.001892118714749813,0.001892118714749813,0.00010681315,0.00010681315,0.12724498,0.12724498,0.0022040018959650918,0.0021923362429548177,0.0019836728,0.0019836728,0.0015259022,0.0015259022,1.8903648857917152e-05,1.9199297152129854e-05,0.00077338034,0.000759659,5289984,5208524,11659.135,11418.836,0.002151522086933255,0.0021362630650401115
66,0.0019073777366429567,0.001892118714749813,0.0001373312,0.00010681315,0.4555886,0.4555886,0.002279494097654643,0.0021662158263845055,0.002014191,0.0019836728,0.0015411612,0.0015411612,1.8903648857917152e-05,2.3552021705543203e-05,0.0009688733,0.00089226797,5289984,4245920,12058.487,9197.579,0.0022735942620784044,0.0021362630650401115
67,0.0019073777366429567,0.001892118714749813,0.00012207218,9.155413e-05,0.050965134,0.050965134,0.002202690455325574,0.0020858703826906943,0.0019989319,0.0019684138,0.0015411612,0.0015411612,1.8903648857917152e-05,2.3140782736976077e-05,0.00070580264,0.0005425916,5289984,4321375,11652.197,9013.828,0.002166781108826399,0.0020904859993606806
68,0.001892118714749813,0.0018768596928566694,0.00010681315,9.155413e-05,0.043610286,0.043610286,0.0021198996729597857,0.002042303481663123,0.0019836728,0.0019684138,0.0014953841,0.0014953841,1.8903648857917152e-05,2.211847184362771e-05,0.00047910714,0.00034432602,5289984,4521108,11214.235,9233.475,0.002121004043146968,0.002075226977467537
69,0.001892118714749813,0.0018768596928566694,0.00012207218,9.155413e-05,0.042404823,0.021911956,0.002254194406589888,0.0021061046217386564,0.0019989319,0.0019684138,0.0015259022,0.0015259022,1.8903648857917152e-05,2.2307222654858413e-05,0.0008892882,0.0005835885,5289984,4482853,11924.652,9441.357,0.0021820401307195425,0.0020904859993606806
