ImageNumber,Intensity_LowerQuartileIntensity_MIRO160mer,Intensity_LowerQuartileIntensity_Subtract_perinucleus_Miro160mer,Intensity_MADIntensity_MIRO160mer,Intensity_MADIntensity_Subtract_perinucleus_Miro160mer,Intensity_MaxIntensity_MIRO160mer,Intensity_MaxIntensity_Subtract_perinucleus_Miro160mer,Intensity_MeanIntensity_MIRO160mer,Intensity_MeanIntensity_Subtract_perinucleus_Miro160mer,Intensity_MedianIntensity_MIRO160mer,Intensity_MedianIntensity_Subtract_perinucleus_Miro160mer,Intensity_MinIntensity_MIRO160mer,Intensity_MinIntensity_Subtract_perinucleus_Miro160mer,Intensity_PercentMaximal_MIRO160mer,Intensity_PercentMaximal_Subtract_perinucleus_Miro160mer,Intensity_StdIntensity_MIRO160mer,Intensity_StdIntensity_Subtract_perinucleus_Miro160mer,Intensity_TotalArea_MIRO160mer,Intensity_TotalArea_Subtract_perinucleus_Miro160mer,Intensity_TotalIntensity_MIRO160mer,Intensity_TotalIntensity_Subtract_perinucleus_Miro160mer,Intensity_UpperQuartileIntensity_MIRO160mer,Intensity_UpperQuartileIntensity_Subtract_perinucleus_Miro160mer
89,0.0018616006709635258,0.0018463416490703821,0.00012207218,9.155413e-05,0.24513619,0.12938124,0.0021747612371677306,0.0020250169349719698,0.0019684138,0.0019226368,0.0015259022,0.0015259022,1.8903648857917152e-05,3.120350677490539e-05,0.0011962297,0.00060691347,5289984,3204768,11504.452,6489.7095,0.002151522086933255,0.0020447089336812496
90,0.0018616006709635258,0.0018463416490703821,0.00012207218,9.155413e-05,0.13562219,0.11895934,0.0022248588603363453,0.002047894116035755,0.0019684138,0.0019226368,0.0014953841,0.0014953841,1.8903648857917152e-05,3.0257140306898175e-05,0.0014213324,0.0007893114,5289984,3305005,11769.468,6768.3003,0.002166781108826399,0.0020447089336812496
91,0.0018616006709635258,0.0018463416490703821,0.00010681315,9.155413e-05,0.1338674,0.065445945,0.0021299828497236477,0.0020229626279239525,0.0019531548,0.0019226368,0.0015106432,0.0015106432,1.8903648857917152e-05,2.654127154454541e-05,0.0010936647,0.00048451548,5289984,3767717,11267.575,7621.9507,0.0021057450212538242,0.0020447089336812496
92,0.0018616006709635258,0.0018463416490703821,0.00010681315,9.155413e-05,0.13127336,0.13127336,0.002134334750291778,0.0020574114373749057,0.0019531548,0.0019378958,0.0015106432,0.0015106432,1.8903648857917152e-05,2.6930920035634993e-05,0.0012000924,0.0009149806,5289984,3713204,11290.597,7639.5884,0.0020904859993606806,0.0020599679555743933
93,0.0018616006709635258,0.0018463416490703821,0.00010681315,9.155413e-05,0.072999164,0.058121614,0.0020888651981863272,0.002010501857874968,0.0019378958,0.0019226368,0.0015106432,0.0015106432,1.8903648857917152e-05,2.7126346111017827e-05,0.0008028547,0.0004913979,5289984,3686453,11050.063,7411.6206,0.0020904859993606806,0.0020447089336812496
94,0.001892118714749813,0.0018768596928566694,0.0001373312,0.00012207218,0.29184404,0.29184404,0.0022545246666270634,0.0021655452487380836,0.002014191,0.0019836728,0.0015259022,0.0015259022,1.8903648857917152e-05,3.446211700095495e-05,0.0013576803,0.001152758,5289984,2901737,11926.399,6283.843,0.0022278171963989735,0.0021820401307195425
95,0.0018463416490703821,0.0018310826271772385,9.155413e-05,7.629511e-05,0.22331579,0.22331579,0.002059676229053812,0.0019763386976171136,0.0019226368,0.0019073777,0.0014801251,0.0014801251,1.8903648857917152e-05,2.3688862894310005e-05,0.0008706544,0.00044019643,5289984,4221393,10895.654,8342.902,0.002029449911788106,0.0019989318680018187
96,0.0018463416490703821,0.0018463416490703821,0.00010681315,9.155413e-05,0.055741206,0.055054553,0.002109418485776611,0.002036445715580747,0.0019378958,0.0019226368,0.0014953841,0.0014953841,1.8903648857917152e-05,2.482944036676063e-05,0.0008880481,0.00066607725,5289984,4027477,11158.79,8201.738,0.002075226977467537,0.002029449911788106
97,0.0018616006709635258,0.0018463416490703821,0.00010681315,9.155413e-05,0.12628366,0.07415885,0.0021493016773538446,0.0020680713428612375,0.0019531548,0.0019378958,0.0015106432,0.0015259022,1.8903648857917152e-05,2.6813612412986475e-05,0.0011285745,0.0008138255,5289984,3729449,11369.771,7712.7666,0.0021057450212538242,0.0020599679555743933
98,0.0018616006709635258,0.0018616006709635258,0.00012207218,0.00010681315,0.29719996,0.20816357,0.002208532310482886,0.002093634774096137,0.0019684138,0.0019378958,0.0015106432,0.0015106432,1.8903648857917152e-05,2.8435207677961035e-05,0.0016300791,0.0009142756,5289984,3516767,11683.101,7362.8257,0.0021362630650401115,0.002075226977467537
